通行证等级,,,,,,
int|key,int|key,int,str,str,int,int
,,,"[]","[]",,
id,level,need_exp,reward1_list,reward2_list,show_rare1,show_rare2
"通行证id","等级","升到下一级所需经验（0为满级）","白银通行证奖励","钻石通行证奖励","白银通行证是否稀有","钻石通行证奖励是否稀有"
1,0,50,"[52,100]","[52,4000]",1,1
1,1,100,"[201,2]","[202,10]",,
1,2,150,"[2,10000]","[2,100000]",,
1,3,200,"[202,2]","[201,10]",,
1,4,250,"[2,10000]","[202,10]",,
1,5,300,"[201,2]","[2,50000]",,
1,6,350,"[2,10000]","[201,10]",,
1,7,400,"[202,2]","[202,10]",,
1,8,450,"[2,10000]","[52,500]",,1
1,9,500,"[201,2]","[2,50000]",,
1,10,500,"[52,100]","[201,10]",1,
1,11,500,"[201,2]","[202,10]",,
1,12,500,"[2,10000]","[2,50000]",,
1,13,500,"[202,2]","[201,10]",,
1,14,500,"[2,10000]","[2,50000]",,
1,15,500,"[201,2]","[52,500]",,1
1,16,500,"[2,10000]","[202,10]",,
1,17,500,"[202,2]","[2,50000]",,
1,18,500,"[2,10000]","[201,10]",,
1,19,500,"[201,2]","[2,50000]",,
1,20,500,"[6206,1]","[6010,1]",1,1
1,21,500,"[201,2]","[202,10]",,
1,22,500,"[2,10000]","[2,50000]",,
1,23,500,"[202,2]","[201,10]",,
1,24,500,"[2,10000]","[2,50000]",,
1,25,500,"[201,2]","[52,500]",,1
1,26,500,"[2,10000]","[202,10]",,
1,27,500,"[202,2]","[2,50000]",,
1,28,500,"[2,10000]","[201,10]",,
1,29,500,"[201,2]","[2,50000]",,
1,30,500,"[52,100]","[52,500]",1,1
1,31,500,"[201,2]","[202,10]",,
1,32,500,"[2,10000]","[2,50000]",,
1,33,500,"[202,2]","[201,10]",,
1,34,500,"[2,10000]","[2,50000]",,
1,35,500,"[201,2]","[52,500]",,1
1,36,500,"[2,10000]","[202,10]",,
1,37,500,"[202,2]","[2,50000]",,
1,38,500,"[2,10000]","[201,10]",,
1,39,500,"[201,2]","[2,50000]",,
1,40,500,"[52,100]","[52,500]",1,1
1,41,500,"[201,2]","[202,10]",,
1,42,500,"[2,10000]","[2,50000]",,
1,43,500,"[202,2]","[201,10]",,
1,44,500,"[2,10000]","[2,50000]",,
1,45,500,"[201,2]","[52,500]",,1
1,46,500,"[2,10000]","[202,10]",,
1,47,500,"[202,2]","[2,50000]",,
1,48,500,"[2,10000]","[201,10]",,
1,49,500,"[201,2]","[2,50000]",,
1,50,0,"[52,100]","[52,500]",1,1
2,0,50,"[52,100]","[52,4000]",1,1
2,1,100,"[201,2]","[202,10]",,
2,2,150,"[2,10000]","[2,100000]",,
2,3,200,"[202,2]","[201,10]",,
2,4,250,"[2,10000]","[202,10]",,
2,5,300,"[201,2]","[2,50000]",,
2,6,350,"[2,10000]","[201,10]",,
2,7,400,"[202,2]","[202,10]",,
2,8,450,"[2,10000]","[52,500]",,1
2,9,500,"[201,2]","[2,50000]",,
2,10,500,"[52,100]","[201,10]",1,
2,11,500,"[201,2]","[202,10]",,
2,12,500,"[2,10000]","[2,50000]",,
2,13,500,"[202,2]","[201,10]",,
2,14,500,"[2,10000]","[2,50000]",,
2,15,500,"[201,2]","[52,500]",,1
2,16,500,"[2,10000]","[202,10]",,
2,17,500,"[202,2]","[2,50000]",,
2,18,500,"[2,10000]","[201,10]",,
2,19,500,"[201,2]","[2,50000]",,
2,20,500,"[6206,1]","[6010,1]",1,1
2,21,500,"[201,2]","[202,10]",,
2,22,500,"[2,10000]","[2,50000]",,
2,23,500,"[202,2]","[201,10]",,
2,24,500,"[2,10000]","[2,50000]",,
2,25,500,"[201,2]","[52,500]",,1
2,26,500,"[2,10000]","[202,10]",,
2,27,500,"[202,2]","[2,50000]",,
2,28,500,"[2,10000]","[201,10]",,
2,29,500,"[201,2]","[2,50000]",,
2,30,500,"[52,100]","[52,500]",1,1
2,31,500,"[201,2]","[202,10]",,
2,32,500,"[2,10000]","[2,50000]",,
2,33,500,"[202,2]","[201,10]",,
2,34,500,"[2,10000]","[2,50000]",,
2,35,500,"[201,2]","[52,500]",,1
2,36,500,"[2,10000]","[202,10]",,
2,37,500,"[202,2]","[2,50000]",,
2,38,500,"[2,10000]","[201,10]",,
2,39,500,"[201,2]","[2,50000]",,
2,40,500,"[52,100]","[52,500]",1,1
2,41,500,"[201,2]","[202,10]",,
2,42,500,"[2,10000]","[2,50000]",,
2,43,500,"[202,2]","[201,10]",,
2,44,500,"[2,10000]","[2,50000]",,
2,45,500,"[201,2]","[52,500]",,1
2,46,500,"[2,10000]","[202,10]",,
2,47,500,"[202,2]","[2,50000]",,
2,48,500,"[2,10000]","[201,10]",,
2,49,500,"[201,2]","[2,50000]",,
2,50,0,"[52,100]","[52,500]",1,1
